quick sort log:
number of elements, time, number of swaps, number of comparisons
1000, 0.0050160884857177734, 12352, 6907
1000, 0.0050165653228759766, 13076, 6907
1000, 0.005017995834350586, 12699, 6907
1000, 0.0040130615234375, 13648, 6907
1000, 0.0030090808868408203, 13406, 6907
1000, 0.003011465072631836, 13792, 6907
1000, 0.0040111541748046875, 13438, 6907
1000, 0.0030121803283691406, 12565, 6907
1000, 0.0030143260955810547, 12606, 6907
1000, 0.004012584686279297, 13228, 6907
1000, 0.005015134811401367, 12390, 6907
1000, 0.0040130615234375, 12766, 6907
1000, 0.003009796142578125, 12121, 6907
1000, 0.003010272979736328, 13122, 6907
1000, 0.003009319305419922, 13550, 6907
1000, 0.00401616096496582, 12740, 6907
1000, 0.006021261215209961, 13101, 6907
1000, 0.008026599884033203, 12475, 6907
1000, 0.006019115447998047, 12213, 6907
1000, 0.0030095577239990234, 11874, 6907
